template_file,block_id,field_name,href,http_status,bucket,corrected_href,note
collection.accessories.json,.sections.ds-cc-base.blocks.tile-lighting.settings.link,link,/collections/office-lighting,404,A,/collections/lighting,live handle: lighting
collection.accessories.json,.sections.ds-cc-base.blocks.tile-whiteboards.settings.link,link,/collections/whiteboards,404,A,/collections/white-board,live handle: white-board
collection.accessories.json,.sections.ds-cc-base.blocks.tile-desktop-accessories.settings.link,link,/collections/desktop-accessories,404,B,/collections/desktop-accessories,create collection
collection.accessories.json,.sections.ds-cc-base.blocks.tile-waste-recycling.settings.link,link,/collections/waste-recycling,404,B,/collections/waste-recycling,create collection
collection.accessories.json,.sections.ds-cc-base.settings.breadcrumb_parent_url,breadcrumb_parent_url,/collections/business-furniture,200,,,
collection.accessories.json,.sections.ds-cc-base.settings.cta_url,cta_url,/pages/quote,200,,,
collection.boardroom.json,.sections.ds-cc-base.blocks.tile-boardroom-tables.settings.link,link,/collections/boardroom-tables,404,A,/collections/meeting-conference-room-tables,live handle: meeting-conference-room-tables
collection.boardroom.json,.sections.ds-cc-base.blocks.tile-boardroom-seating.settings.link,link,/collections/boardroom-seating,404,B,/collections/boardroom-seating,create collection
collection.boardroom.json,.sections.ds-cc-base.blocks.tile-boardroom-storage.settings.link,link,/collections/boardroom-storage,404,B,/collections/boardroom-storage,create collection
collection.boardroom.json,.sections.ds-cc-base.blocks.brand-keilhauer.settings.link,link,/collections/keilhauer,404,B,/collections/keilhauer,create brand collection
collection.boardroom.json,.sections.ds-cc-base.settings.breadcrumb_parent_url,breadcrumb_parent_url,/collections/business-furniture,200,,,
collection.boardroom.json,.sections.ds-cc-base.settings.cta_url,cta_url,/pages/quote,200,,,
collection.business-furniture.json,.sections.ds-cc-base.blocks.tile-seating.settings.link,link,/collections/seating,200,,,
collection.business-furniture.json,.sections.ds-cc-base.blocks.tile-desks.settings.link,link,/collections/desks,200,,,
collection.business-furniture.json,.sections.ds-cc-base.blocks.tile-storage.settings.link,link,/collections/storage,200,,,
collection.business-furniture.json,.sections.ds-cc-base.blocks.tile-tables.settings.link,link,/collections/tables,200,,,
collection.business-furniture.json,.sections.ds-cc-base.blocks.tile-boardroom.settings.link,link,/collections/boardroom,200,,,
collection.business-furniture.json,.sections.ds-cc-base.blocks.tile-ergonomic.settings.link,link,/collections/ergonomic-products,200,,,
collection.business-furniture.json,.sections.ds-cc-base.blocks.tile-panels.settings.link,link,/collections/panels-room-dividers,200,,,
collection.business-furniture.json,.sections.ds-cc-base.blocks.tile-accessories.settings.link,link,/collections/accessories,200,,,
collection.business-furniture.json,.sections.ds-cc-base.blocks.tile-quiet.settings.link,link,/collections/quiet-spaces,200,,,
collection.business-furniture.json,.sections.ds-cc-base.blocks.brand-keilhauer.settings.link,link,/collections/keilhauer,404,B,/collections/keilhauer,create brand collection
collection.business-furniture.json,.sections.ds-cc-base.blocks.brand-global-teknion.settings.link,link,/collections/global-teknion,404,B,/collections/global-teknion,create brand collection
collection.business-furniture.json,.sections.ds-cc-base.blocks.brand-ergocentric.settings.link,link,/collections/ergocentric,404,B,/collections/ergocentric,create brand collection
collection.business-furniture.json,.sections.ds-cc-base.settings.cta_url,cta_url,/pages/quote,200,,,
collection.desks.json,.sections.ds-cc-base.blocks.tile-height-adjustable.settings.link,link,/collections/height-adjustable-desks,404,A,/collections/height-adjustable-tables-desks,live handle: height-adjustable-tables-desks
collection.desks.json,.sections.ds-cc-base.blocks.tile-l-shape.settings.link,link,/collections/l-shape-desks,200,,,
collection.desks.json,.sections.ds-cc-base.blocks.tile-straight.settings.link,link,/collections/straight-desks,200,,,
