template,section_type,setting_id,status,candidate_1,candidate_2,candidate_3,notes
collection.accessories.json,ds-cc-base,logo,POPULATED,shopify://shop_images/bbi-logo-v2,,,Already set
collection.accessories.json,ds-cc-base,hero_image,EMPTY,data/page-images/accessories/accessories-space.jpg,,,EXACT filename match
collection.base.json,ds-cs-base,logo,EMPTY,shopify://shop_images/bbi-logo-v2_aa647658-6557-4dc8-abb7-f2...,,,Same logo URL populated in every other template — copy from any sibling template
collection.base.json,ds-cs-base,hero_image,EMPTY,,,,NO MATCH — generic base template; hero should be set per-collection suffix not one fixed image
collection.boardroom.json,ds-cc-base,logo,POPULATED,shopify://shop_images/bbi-logo-v2,,,Already set
collection.boardroom.json,ds-cc-base,hero_image,EMPTY,data/page-images/boardroom/boardroom-space.jpg,data/oci-photos/Subject-Areas-boardroom.jpg,data/oci-photos/Inspiration-Conference-1-1.jpg,HIGH — direct page-images match
collection.business-furniture.json,ds-cc-base,logo,POPULATED,shopify://shop_images/bbi-logo-v2,,,Already set
collection.business-furniture.json,ds-cc-base,hero_image,EMPTY,data/page-images/business-furniture/business-furniture-space.jpg,data/oci-photos/Inspiration-Workplace.jpg,,HIGH — direct page-images match
collection.category.json,ds-cc-base,logo,EMPTY,shopify://shop_images/bbi-logo-v2_aa647658-6557-4dc8-abb7-f2...,,,Same logo URL populated in every other template — copy from any sibling
collection.category.json,ds-cc-base,hero_image,EMPTY,,,,NO MATCH — generic template placeholder; hero must be set when a real collection uses this suffix
collection.desks.json,ds-cc-base,logo,POPULATED,shopify://shop_images/bbi-logo-v2,,,Already set
collection.desks.json,ds-cc-base,hero_image,EMPTY,data/page-images/desks/desks-space.jpg,,,HIGH — direct page-images match
collection.ergonomic-products.json,ds-cc-base,logo,POPULATED,shopify://shop_images/bbi-logo-v2,,,Already set
collection.ergonomic-products.json,ds-cc-base,hero_image,EMPTY,data/page-images/ergonomic-products/ergonomic-products-space.jpg,data/oci-photos/Inspiration-Ergonomics.jpg,,HIGH — direct page-images match
collection.panels-room-dividers.json,ds-cc-base,logo,POPULATED,shopify://shop_images/bbi-logo-v2,,,Already set
collection.panels-room-dividers.json,ds-cc-base,hero_image,EMPTY,data/page-images/panels-room-dividers/panels-room-dividers-space.jpg,data/oci-photos/Inspiration-Privacy-pods.jpg,,HIGH — direct page-images match
collection.quiet-spaces.json,ds-cc-base,logo,POPULATED,shopify://shop_images/bbi-logo-v2,,,Already set
collection.quiet-spaces.json,ds-cc-base,hero_image,EMPTY,data/page-images/quiet-spaces/quiet-spaces-space.jpg,data/oci-photos/Inspiration-Accoustics.jpg,data/oci-photos/Pods-4-1.jpg,HIGH — direct page-images match; OCI Accoustics is strong alt
collection.seating.json,ds-cc-base,logo,POPULATED,shopify://shop_images/bbi-logo-v2,,,Already set
